ts,batch,event,file,rows_before,rows_after,detail
2026-03-31 18:00:33,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/data/today.json,292,293,SAVE_TODAY
2026-03-31 18:00:33,B2,BATCH_COMPLETE,,,,
2026-04-01 19:40:40,B0,BATCH_START,,,,
2026-04-01 19:40:51,B0,BOXSCORES_FETCHED,,,,166 rows for 2026-03-31
2026-04-01 19:40:52,B0,BATCH_SUMMARY,,,,"plays_graded=82, wins=43, losses=39, dnp=3"
2026-04-01 19:40:54,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24311,,
2026-04-01 19:41:07,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/source-files/nba_gamelogs_2025_26.csv,24311,24480,APPEND_GAMELOGS
2026-04-01 19:41:07,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-01 19:43:31,B0,BATCH_COMPLETE,,,,
2026-04-01 19:44:41,B1,BATCH_START,,,,2026-04-01
2026-04-01 19:44:48,B1,PROPS_FETCHED,,,,"108 props, 9 games"
2026-04-01 19:45:00,B1,PREDICTIONS,,,,"107 plays, skipped 1"
2026-04-01 19:45:00,B1,BATCH_SUMMARY,,,,"props_fetched=107, plays_added=107"
2026-04-01 19:45:00,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/data/today.json,293,400,SAVE_TODAY
2026-04-01 19:45:02,B1,BATCH_COMPLETE,,,,
2026-04-01 20:26:26,B0,BATCH_START,,,,
2026-04-01 20:26:37,B0,BOXSCORES_FETCHED,,,,166 rows for 2026-03-31
2026-04-01 20:26:38,B0,BATCH_SUMMARY,,,,"plays_graded=0, wins=0, losses=0, dnp=3"
2026-04-01 20:26:40,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24480,,
2026-04-01 20:26:56,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/source-files/nba_gamelogs_2025_26.csv,24480,24480,APPEND_GAMELOGS
2026-04-01 20:26:56,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-01 20:29:32,B0,BATCH_COMPLETE,,,,
2026-04-01 20:30:30,B1,BATCH_START,,,,2026-04-01
2026-04-01 20:30:40,B1,PROPS_FETCHED,,,,"108 props, 9 games"
2026-04-01 20:30:50,B1,PREDICTIONS,,,,"107 plays, skipped 1"
2026-04-01 20:30:51,B1,BATCH_SUMMARY,,,,"props_fetched=107, plays_added=1"
2026-04-01 20:30:51,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/data/today.json,400,401,SAVE_TODAY
2026-04-01 20:30:53,B1,BATCH_COMPLETE,,,,
2026-04-01 22:37:20,B3,BATCH_START,,,,2026-04-01
2026-04-01 22:37:27,B3,PROPS_FETCHED,,,,"110 props, 9 games"
2026-04-01 22:37:44,B3,PREDICTIONS,,,,"109 plays, skipped 1"
2026-04-01 22:37:44,B3,BATCH_SUMMARY,,,,"props_fetched=109, plays_added=3"
2026-04-01 22:37:44,B3,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/data/today.json,401,404,SAVE_TODAY
2026-04-01 22:37:46,B3,BATCH_COMPLETE,,,,
2026-04-02 07:30:00,B0,BATCH_START,,,,
2026-04-02 07:30:13,B0,BOXSCORES_FETCHED,,,,190 rows for 2026-04-01
2026-04-02 07:30:14,B0,BATCH_SUMMARY,,,,"plays_graded=105, wins=61, losses=44, dnp=6"
2026-04-02 07:30:16,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24480,,
2026-04-02 07:30:36,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/source-files/nba_gamelogs_2025_26.csv,24480,24676,APPEND_GAMELOGS
2026-04-02 07:30:36,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-02 07:33:45,B0,BATCH_COMPLETE,,,,
2026-04-02 08:00:01,B1,BATCH_START,,,,2026-04-02
2026-04-02 08:00:10,B1,PROPS_FETCHED,,,,"83 props, 6 games"
2026-04-02 08:00:28,B1,PREDICTIONS,,,,"83 plays, skipped 0"
2026-04-02 08:00:29,B1,BATCH_SUMMARY,,,,"props_fetched=83, plays_added=83"
2026-04-02 08:00:29,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV11.0/data/today.json,404,487,SAVE_TODAY
2026-04-02 08:00:31,B1,BATCH_COMPLETE,,,,
2026-04-02 18:00:01,B2,BATCH_START,,,,2026-04-02
2026-04-02 18:00:09,B2,PROPS_FETCHED,,,,"85 props, 6 games"
